DataSet,split,hybrid,Accuracy,Precision,Recall,F1-Score,AUC,MCC,ErrorTipoI,ErrorTipoII,MatrixConfusion
aer.csv,gini,True,0.9962,1.0,0.9951,0.9976,0.9976,0.9892,0.0,0.0049,"[[59, 0], [1, 204]]"
aer.csv,entropy,True,0.9962,1.0,0.9951,0.9976,0.9976,0.9892,0.0,0.0049,"[[59, 0], [1, 204]]"
australian.csv,gini,True,0.8406,0.8095,0.8361,0.8226,0.8401,0.6782,0.1558,0.1639,"[[65, 12], [10, 51]]"
australian.csv,entropy,True,0.8116,0.7778,0.8033,0.7903,0.8107,0.6196,0.1818,0.1967,"[[63, 14], [12, 49]]"
crx.csv,gini,True,0.8841,0.8571,0.8852,0.871,0.8842,0.7661,0.1169,0.1148,"[[68, 9], [7, 54]]"
crx.csv,entropy,True,0.8768,0.8438,0.8852,0.864,0.8777,0.7523,0.1299,0.1148,"[[67, 10], [7, 54]]"
data-eiz-categorica.csv,gini,True,0.7096,0.7443,0.7652,0.7546,0.6985,0.3994,0.3682,0.2348,"[[290, 169], [151, 492]]"
data-eiz-categorica.csv,entropy,True,0.7096,0.7451,0.7636,0.7542,0.6988,0.3998,0.366,0.2364,"[[291, 168], [152, 491]]"
default+of+credit+card+clients.csv,gini,True,0.7713,0.873,0.8267,0.8492,0.7016,0.3803,0.4235,0.1733,"[[765, 562], [810, 3863]]"
default+of+credit+card+clients.csv,entropy,True,0.7713,0.873,0.8267,0.8492,0.7016,0.3803,0.4235,0.1733,"[[765, 562], [810, 3863]]"
german.csv,gini,True,0.69,0.7566,0.8214,0.7877,0.6024,0.2197,0.6167,0.1786,"[[23, 37], [25, 115]]"
german.csv,entropy,True,0.695,0.7801,0.7857,0.7829,0.6345,0.2704,0.5167,0.2143,"[[29, 31], [30, 110]]"
gmsc.csv,gini,True,0.7717,0.1919,0.7121,0.3024,0.7442,0.2838,0.2238,0.2879,"[[17373, 5010], [481, 1190]]"
gmsc.csv,entropy,True,0.7717,0.1919,0.7121,0.3024,0.7442,0.2838,0.2238,0.2879,"[[17373, 5010], [481, 1190]]"
heloc.csv,gini,True,0.7122,0.699,0.699,0.699,0.7117,0.4234,0.2756,0.301,"[[791, 301], [301, 699]]"
heloc.csv,entropy,True,0.7122,0.699,0.699,0.699,0.7117,0.4234,0.2756,0.301,"[[791, 301], [301, 699]]"
loan_data_set.csv,gini,True,0.5312,0.6667,0.6364,0.6512,0.4682,-0.0621,0.7,0.3636,"[[9, 21], [24, 42]]"
loan_data_set.csv,entropy,True,0.5312,0.6667,0.6364,0.6512,0.4682,-0.0621,0.7,0.3636,"[[9, 21], [24, 42]]"
newhmeq.csv,gini,True,0.7296,0.9518,0.7406,0.833,0.6786,0.2241,0.3833,0.2594,"[[37, 23], [159, 454]]"
newhmeq.csv,entropy,True,0.7296,0.9518,0.7406,0.833,0.6786,0.2241,0.3833,0.2594,"[[37, 23], [159, 454]]"
ppdaiData.csv,gini,True,0.6281,0.8806,0.6628,0.7563,0.5287,0.0405,0.6054,0.3372,"[[567, 870], [3265, 6418]]"
ppdaiData.csv,entropy,True,0.6281,0.8806,0.6628,0.7563,0.5287,0.0405,0.6054,0.3372,"[[567, 870], [3265, 6418]]"
